MAG	Pentose Phosphate Pathway	Glycolysis (Embden-Meyerhof pathway)	Pyruvate oxidation	Acetate production	Lactic acid production	Ethanol production	Bifid shunt	Phosphoketolase (heterolactic fermentation)	Succinic acid production	Lactate consumption	Reverse beta oxidation	Alternative fates of acyl-CoA species	Ferredoxin oxidation
UW_TS_LCO5_1	0.5	0.538461538	0.666666667	0.5	1	0	0.6	0	0.142857143	1	0.833333333	1	1
UW_TS_LCO4_1	1	0.692307692	0.666666667	0.5	1	0	0.4	0.25	0.142857143	0	0.666666667	0	0.5
UW_TS_LCO3_1	1	0.615384615	0.666666667	0.5	1	0	0.4	0.25	0.142857143	0	0.666666667	0	0.5
UW_TS_LCO2_1	1	0.615384615	0.666666667	0.5	1	0	0.4	0	0.285714286	0	0.166666667	0	1
UW_TS_LCO1_1	0.5	0.538461538	0.666666667	0.5	0.5	0	0.2	0.25	0.285714286	0	0	0	0.5
UW_TS_LACPLAN1_1	0	0.538461538	0	0	1	0	0.8	0.75	0.142857143	0.5	0	0	0
UW_TS_LACCAS2_1	0	0.615384615	0	0.5	1	0	0.4	0.75	0.285714286	0	0.333333333	0	0
UW_TS_LACCAS1_1	0.5	0.538461538	0.333333333	0.5	1	0	0.6	1	0.285714286	0.5	0.333333333	0	0
UW_TS_LAC6_1	0	0.384615385	0	0.5	0.5	0	0.6	0.25	0.142857143	0	0	0	0
UW_TS_LAC5_1	0	0.615384615	0	0.5	1	0	0.6	0.75	0.142857143	0	0.166666667	0	0
UW_TS_LAC4_1	0.5	0.615384615	0.333333333	0.5	1	0	0.6	0.75	0.142857143	0	0.166666667	0	0
UW_TS_LAC3_1	0	0.384615385	0	0.5	1	0	0.6	0.75	0.142857143	0	0.166666667	0	0
UW_TS_LAC2_1	0	0.615384615	0	0.5	0.5	0	0.6	0.75	0.285714286	0.5	0.166666667	0	0
UW_TS_LAC1_1	0.5	0.692307692	0	0.5	1	0	0.6	0.75	0.285714286	0.5	0.333333333	0	0
UW_TS_GAST1_1	0.5	0.384615385	0.333333333	0	0.5	0	0.2	0	0.142857143	0.5	0	0	0.5
UW_TS_FURLAC1_1	0.5	0.538461538	0	0.5	1	0.5	0.8	0.75	0	0	0.5	0	0
UW_TS_EUB2_1	0.5	0.538461538	0.666666667	0.5	1	0	0.2	0	0.428571429	1	0.833333333	1	0.5
UW_TS_EUB1_1	0.5	0.538461538	0.333333333	0.5	1	0	0.2	0	0.285714286	0.5	0.833333333	1	0.5
UW_TS_EGG1_1	0.5	0.307692308	0.333333333	0.5	0.5	0	0.2	0	0	0.5	0.333333333	0	0
UW_TS_COMLAC1_1	0.5	0.538461538	0	0.5	1	0	0.8	0.75	0.142857143	0.5	0.5	0	0
UW_TS_CLOS1_1	1	0.615384615	0.666666667	0.5	1	0	0.8	0	0.285714286	1	0.833333333	1	1
UW_TS_BUL2_1	0.5	0.538461538	0.666666667	0.5	1	0	0.2	0	0	0.5	0.666666667	0	0.5
UW_TS_BUL1_1	1	0.615384615	0.666666667	0.5	1	0	0.4	0	0	0	0.666666667	0	0.5
UW_TS_BAC2_1	1	0.538461538	0	0.5	1	0	0.2	0.75	0.571428571	1	1	0	0
UW_TS_BAC1_1	1	0.538461538	0	0.5	1	0.5	0.8	1	0.428571429	1	0.833333333	0	0
UW_TS_ATO3_1	0.5	0.538461538	0.666666667	0.5	1	0	0.6	0	0.285714286	0	0.166666667	0	0.5
UW_TS_ATO2_1	1	0.615384615	0.666666667	0.5	1	0	0.4	0	0.285714286	0	0.166666667	0	0.5
UW_TS_ATO1_1	0.5	0.615384615	0.666666667	0.5	1	0	0.2	0.5	0.142857143	0	0.833333333	1	0.5
UW_TS_ANEURI1_1	0.5	0.461538462	0	0.5	0.5	0.5	0.4	0.5	0.571428571	1	1	0	0
UW_TS_ACID1_1	0.5	0.461538462	0.666666667	0.5	1	0	0.4	0	0.285714286	0.5	0.833333333	1	0.5
UW_TS_ACET6_1	0	0.461538462	0	0.5	0.5	0.5	0.8	0.75	0.142857143	0.5	0.166666667	0	0
UW_TS_ACET5_1	0.5	0.461538462	0.333333333	0.5	0.5	0.5	0.6	0.5	0.142857143	1	0.666666667	0	0
UW_TS_ACET4_1	0.5	0.461538462	0.333333333	0.5	0.5	0.5	0.6	0.5	0.142857143	1	0.666666667	0	0
UW_TS_ACET3_1	0.5	0.538461538	0	0	0.5	0.5	0.6	0.75	0.142857143	1	0.5	0	0
UW_TS_ACET2_1	0.5	0.615384615	0.333333333	0.5	0.5	0.5	0.8	0.5	0.142857143	0.5	0.666666667	0	0
UW_TS_ACET1_1	0.5	0.538461538	0	0.5	0.5	0.5	0.6	0.5	0.142857143	1	0.166666667	0	0
UW_SG_LCO1	0.5	0.538461538	0.666666667	0.5	1	0	0.4	0	0.285714286	0	1	1	1
UW_SG_LAC4	0	0.461538462	0	0.5	1	0.5	0.6	0.75	0	0	0.333333333	0	0
UW_SG_LAC3	0.5	0.615384615	0.333333333	0.5	1	0.5	0.8	1	0.142857143	0.5	0.166666667	0	0
UW_SG_LAC2	1	0.461538462	0	0.5	1	0.5	0.6	0.75	0	0	0.5	0	0
UW_SG_LAC1	1	0.538461538	0	0.5	1	0.5	0.8	0.75	0.142857143	0.5	0.333333333	0	0
UW_SG_EUB1	0.5	0.538461538	0.666666667	0.5	1	0	0.2	0	0.428571429	1	0.833333333	1	1
UW_SG_COR3	1	0.615384615	0.666666667	0.5	1	0	0.4	0	0.285714286	0	0.166666667	0	0.5
UW_SG_COR2	0.5	0.615384615	0.666666667	0.5	1	0	0.6	0	0.285714286	0	0.166666667	0	0.5
UW_MP_TREP1_1	1	0.615384615	0.333333333	0.5	1	0	0.6	0	0	0	0	0	0
UW_MP_STREP4_1	0.5	0.615384615	0.666666667	0.5	0.5	0	0.6	1	0.285714286	0	0	0	0
UW_MP_STREP3_1	1	0.461538462	0.333333333	0.5	0.5	0.5	0.8	0.75	0.142857143	0	0.333333333	0	0
UW_MP_STREP2_1	1	0.615384615	0.666666667	0.5	1	0	0.4	0.75	0.285714286	0	0	0	0
UW_MP_STREP1_1	1	0.615384615	0.666666667	0.5	0.5	0.5	0.8	0.75	0.285714286	0	0.333333333	0	0
UW_MP_SPOR1_1	1	0.615384615	0.333333333	0.5	1	0.5	0.6	0.5	0.428571429	0.5	0.666666667	0	0
UW_MP_SPHING1_1	1	0.615384615	0	0	1	0.5	0.4	0.5	0.428571429	0.5	0.833333333	0	0
UW_MP_SPH2_1	1	0.461538462	0.333333333	0.5	0.5	0	0.2	0.5	0	0	0.166666667	0	0.5
UW_MP_SPH1_1	1	0.615384615	0.333333333	0.5	1	0	0.2	0.5	0	0	0.333333333	0	0.5
UW_MP_SELEN1_1	1	0.538461538	0.333333333	0	1	0	0.4	0	0.142857143	1	0.333333333	1	0
UW_MP_SCHLAC2_1	0.5	0.615384615	0.333333333	0.5	1	0	0.8	1	0.142857143	0	0.166666667	0	0
UW_MP_SCHLAC1_1	0.5	0.538461538	0.333333333	0.5	1	0.5	0.6	0.75	0.142857143	0	0.333333333	0	0
UW_MP_SACCH1_1	0	0.384615385	0.333333333	0.5	1	0	0.2	0	0.285714286	0	0	0	0
UW_MP_RUM1_1	0	0.538461538	0.333333333	0.5	1	0	0.2	0	0.142857143	0	0.5	1	0.5
UW_MP_PROP1_1	0	0.615384615	0.333333333	0	1	0.5	0.4	0.75	0.285714286	0	0.5	0	0
UW_MP_PREV8_1	0.5	0.384615385	0.333333333	0	0.5	0	0.2	0.25	0.285714286	0	0.166666667	0	0
UW_MP_PREV7_1	0.5	0.461538462	0.333333333	0.5	0	0	0.4	0	0.142857143	0	0.333333333	0	0
UW_MP_PREV6_1	1	0.307692308	0.333333333	0.5	0	0	0.4	0	0.285714286	0	0.166666667	0	0
UW_MP_PREV4_1	1	0.461538462	0.333333333	0.5	0	0	0.4	0.25	0.142857143	0	0.333333333	0	0
UW_MP_PREV3_1	1	0.461538462	0.333333333	0.5	0.5	0	0.4	0.25	0.285714286	0	0.166666667	0	0
UW_MP_PREV1_1	1	0.538461538	0.333333333	0.5	0.5	0	0.4	1	0.285714286	0	0.166666667	0	0
UW_MP_OSCL3_1	0.5	0.384615385	0.333333333	0.5	0.5	0	0.2	0	0.142857143	1	0.833333333	0	0.5
UW_MP_OSCL2_1	0	0.384615385	0.333333333	0.5	0.5	0	0.2	0	0	0	0.833333333	0	0.5
UW_MP_OSCL1_1	0.5	0.307692308	0.333333333	0.5	1	0	0.2	0	0	0.5	0.833333333	1	0.5
UW_MP_MYC1_1	0.5	0.615384615	0	0.5	0	0.5	0.2	0.75	0.285714286	0	0.833333333	0	0
UW_MP_MUR1_1	0	0.384615385	0	0.5	0.5	0	0.4	0.25	0.428571429	0	0	0	0
UW_MP_MORAX2_1	0.5	0.461538462	0.333333333	1	0.5	1	0.8	0	0.428571429	0.5	0.666666667	0	0
UW_MP_MORAX1_1	0.5	0.384615385	0.333333333	1	0.5	0.5	0.6	0	0.428571429	1	0.833333333	0	0
UW_MP_MIC1_1	0	0.384615385	0	0.5	1	0	0.4	0.25	0	0	0.166666667	0	0
UW_MP_METH1_1	0.5	0.230769231	0	0	0.5	0	0.4	0	0	0	0.166666667	1	0
UW_MP_MEG5_1	0	0.384615385	0.333333333	0.5	1	0	0.4	0.5	0	1	0.833333333	1	0
UW_MP_MEG3_1	0	0.461538462	0.333333333	0	1	0	0.4	0	0.285714286	1	0.833333333	1	1
UW_MP_MEG2_1	1	0.538461538	0.666666667	0.5	1	0	0.2	0.5	0.428571429	1	0.833333333	1	0
UW_MP_MEG1_1	1	0.538461538	0.333333333	0.5	1	0	0.4	0.5	0.285714286	1	0.833333333	1	1
UW_MP_LIQLAC2_1	0.5	0.461538462	0.333333333	0.5	1	0	0.6	0.75	0.285714286	0	0.5	0	0
UW_MP_LIQLAC1_1	1	0.538461538	0	0.5	1	0	0.8	0.75	0.285714286	0	0.5	0	0
UW_MP_LEUC1_1	0.5	0.384615385	0	0.5	1	0	0.8	0.75	0	0	0.166666667	0	0
UW_MP_LCO5_1	0.5	0.384615385	0.333333333	0.5	1	0	0.4	0	0.428571429	0	0.833333333	0	0.5
UW_MP_LCO4_1	0.5	0.538461538	0.666666667	0.5	0.5	0	0.2	0	0.142857143	0.5	1	0	0
UW_MP_LCO3_1	1	0.538461538	0.666666667	0.5	1	0	0.4	0	0.428571429	0	0.666666667	0	1
UW_MP_LCO2_1	0.5	0.461538462	0.666666667	0.5	1	0	0.2	0	0.428571429	1	0.833333333	1	1
UW_MP_LCO1_1	0.5	0.615384615	0.666666667	0.5	1	0	0.2	0	0.428571429	0	0.833333333	1	0.5
UW_MP_LAC3_1	0	0.615384615	0	0.5	0.5	0	0.6	0.75	0.142857143	0.5	0.166666667	0	0
UW_MP_LAC2_1	0	0.384615385	0	0.5	1	0	0.6	0.25	0.142857143	0.5	0	0	0
UW_MP_LAC1_1	0	0.615384615	0	0.5	1	0	0.6	0.75	0.142857143	0.5	0.166666667	0	0
UW_MP_ENTER5_1	1	0.846153846	1	1	1	0.5	0.8	1	0.857142857	0.5	0.666666667	0	0
UW_MP_ENTER4_1	1	0.846153846	1	1	1	1	0.8	1	0.714285714	0.5	0.833333333	0	0
UW_MP_ENTER3_1	1	0.846153846	0.666666667	1	1	0.5	0.8	1	0.571428571	0.5	0.833333333	0	0
UW_MP_ENTER2_1	1	0.923076923	1	1	1	1	0.6	1	0.714285714	0.5	0.666666667	0	0
UW_MP_ENTER1_1	1	0.846153846	1	1	1	0.5	0.8	1	0.857142857	0	0.666666667	0	0
UW_MP_EGG1_1	0	0.384615385	0	0.5	0	0	0.2	0	0	0.5	0.166666667	0	0
UW_MP_CLOS2_1	0.5	0.615384615	0.666666667	0.5	1	0	0.6	0	0.285714286	1	0.833333333	1	0.5
UW_MP_CLOS1_1	1	0.461538462	0.666666667	0.5	1	0	0.4	0	0.285714286	1	0.833333333	1	0.5
UW_MP_CAUL1_1	1	0.615384615	0	0.5	1	1	0.6	0.25	0.285714286	0.5	1	0	0
UW_MP_CARN1_1	0.5	0.692307692	0.666666667	0.5	1	0.5	0.6	1	0.285714286	0	0.333333333	1	0
UW_MP_BURK4_1	0.5	0.384615385	0.333333333	0.5	0.5	0.5	0.4	0	0.142857143	1	0.666666667	0	0
UW_MP_BURK2_1	1	0.461538462	0	0.5	0.5	0.5	1	0.25	0.285714286	0.5	0.833333333	0	0
UW_MP_BURK1_1	0.5	0.538461538	0	0.5	0.5	1	0.8	0	0.142857143	0.5	0.666666667	0	0
UW_MP_BUL3_1	0.5	0.538461538	0.666666667	0	0.5	0	0.4	0.75	0.142857143	0	0.666666667	0	0.5
UW_MP_BUL2_1	0.5	0.538461538	0.666666667	0.5	1	0	0.4	0	0	0	0.666666667	0	0.5
UW_MP_BUL1_1	0.5	0.615384615	0.666666667	0.5	1	0	0.2	0	0.142857143	0	0.666666667	0	0.5
UW_MP_BIF9_1	0.5	0.461538462	0.333333333	0.5	1	0.5	0.8	0.75	0.285714286	0	0.333333333	0	0
UW_MP_BIF8_1	1	0.538461538	0.333333333	0.5	1	0	0.8	0.75	0.285714286	0	0.166666667	0	0
UW_MP_BIF7_1	0.5	0.538461538	0.333333333	0.5	1	0	0.8	0.75	0.285714286	0	0	0	0
UW_MP_BIF6_1	0.5	0.538461538	0.333333333	0.5	1	0	0.8	0.75	0.142857143	0	0	0	0
UW_MP_BIF5_1	0.5	0.538461538	0.333333333	0.5	1	0	0.8	0.75	0.285714286	0	0	0	0
UW_MP_BIF4_1	0.5	0.538461538	0.333333333	0.5	1	0	0.8	0.75	0.285714286	0	0	0	0
UW_MP_BIF3_1	0.5	0.538461538	0.333333333	0.5	1	0.5	0.8	0.75	0.285714286	0	0	0	0
UW_MP_BIF2_1	0.5	0.538461538	0.333333333	0.5	1	0	0.8	0.75	0.285714286	0	0.333333333	0	0
UW_MP_BIF19_1	1	0.538461538	0.333333333	0	1	0.5	0.4	0.75	0.285714286	0	0.333333333	0	0
UW_MP_BIF18_1	0.5	0.461538462	0.333333333	0.5	1	0	0.6	0.75	0.285714286	0	0	0	0
UW_MP_BIF17_1	0.5	0.538461538	0	0.5	1	0	0.8	0	0.142857143	0	0.166666667	0	0
UW_MP_BIF16_1	0.5	0.538461538	0.333333333	0.5	1	0	0.8	0.75	0.142857143	0	0	0	0
UW_MP_BIF15_1	0.5	0.538461538	0.333333333	0.5	1	0	0.8	0.75	0.142857143	0	0	0	0
UW_MP_BIF14_1	0.5	0.461538462	0.333333333	0.5	1	0	0.6	0.75	0.285714286	0	0.333333333	0	0
UW_MP_BIF13_1	0.5	0.538461538	0.333333333	0.5	1	0	0.8	0.75	0.285714286	0	0	0	0
UW_MP_BIF12_1	0.5	0.538461538	0.333333333	0.5	1	0	0.8	0.75	0.285714286	0	0.333333333	0	0
UW_MP_BIF11_1	0	0.538461538	0.333333333	0.5	1	0.5	0.8	0.75	0.285714286	0	0.333333333	0	0
UW_MP_BIF10_1	0.5	0.538461538	0.333333333	0.5	1	0	0.8	0.75	0.142857143	0	0	0	0
UW_MP_BIF1_1	0.5	0.615384615	0.333333333	0.5	1	0	0.8	0.75	0.285714286	0	0	0	0
UW_MP_BACTE8_1	0.5	0.384615385	0	0	0.5	0	0.2	0	0.285714286	0	0.166666667	1	0
UW_MP_BACTE7_1	0	0.384615385	0.333333333	0.5	0.5	0	0.2	0	0	0	0	1	0.5
UW_MP_BACTE6_1	0.5	0.461538462	0.333333333	0.5	1	0	0.2	0	0.428571429	0	0.333333333	0	0
UW_MP_BACTE5_1	1	0.384615385	0	0.5	0.5	0	0.2	0.75	0.142857143	0	0.333333333	1	0
UW_MP_BACTE4_1	0.5	0.615384615	0.333333333	0	0.5	0	0.2	0	0.285714286	0	0.166666667	0	0
UW_MP_BACTE3_1	1	0.538461538	0.666666667	0.5	1	0	0.8	0.75	0.285714286	0	0.333333333	0	0
UW_MP_BACTE2_1	1	0.538461538	0.333333333	0.5	1	0	0.2	0	0.285714286	0	0.166666667	1	0
UW_MP_BACTE1_1	1	0.461538462	0.333333333	0.5	0.5	0	0.2	0.75	0.285714286	0	0.333333333	1	0
UW_MP_BACIL8_1	0	0.384615385	0.666666667	0.5	0.5	0	0.4	0	0	0	0.166666667	0	0
UW_MP_BACIL7_1	0	0.384615385	0.333333333	0.5	0.5	0	0.4	0	0	0	0	0	0
UW_MP_BACIL6_1	0	0.461538462	0.333333333	0.5	0.5	0	0.4	0	0	0	0	0	0.5
UW_MP_BACIL4_1	0	0.538461538	0.333333333	0.5	0	0	0.4	0	0	0	0	0	0.5
UW_MP_BACIL3_1	0.5	0.461538462	0.333333333	0.5	0.5	0	0.4	0	0	0	0	0	0.5
UW_MP_BACIL2_1	0	0.538461538	0.333333333	0.5	1	0	0.4	0	0.142857143	0	0.166666667	0	0.5
UW_MP_BACIL1_1	0.5	0.538461538	0.333333333	0.5	0.5	0	0.4	0	0	0	0	0	0.5
UW_MP_ATO6_1	0.5	0.615384615	0.333333333	0.5	1	0	0.2	0.5	0.285714286	0	0.166666667	0	0.5
UW_MP_ATO5_1	1	0.538461538	0.333333333	0.5	1	0	0.4	0	0.285714286	0	0.166666667	0	0.5
UW_MP_ATO4_1	0.5	0.615384615	0.333333333	0.5	0.5	0	0.4	0	0.285714286	0.5	0.166666667	0	0.5
UW_MP_ATO3_1	1	0.692307692	0.666666667	0.5	1	0	0.4	0.5	0.142857143	0	0.166666667	0	0.5
UW_MP_ATO2_1	1	0.538461538	0.666666667	0.5	1	0	0.4	0	0.285714286	1	0	0	0.5
UW_MP_ATO1_1	0.5	0.615384615	0.666666667	0.5	1	0	0.4	0	0.285714286	1	0.166666667	0	0.5
UW_MP_ANA3_1	0.5	0.384615385	0.333333333	0.5	1	0	0.2	0	0.142857143	0.5	0.833333333	1	0.5
UW_MP_ANA2_1	0.5	0.384615385	0.333333333	0.5	0.5	0	0.2	0	0.285714286	0.5	0.833333333	0	0
UW_MP_ANA1_1	0.5	0.538461538	0.333333333	0.5	1	0	0.2	0	0.142857143	0.5	0.833333333	1	0.5
UW_MP_AGRLAC1_1	1	0.538461538	0.666666667	0.5	1	0.5	0.8	0.75	0.285714286	0.5	0.5	0	0
UW_MP_ACUT4_1	0.5	0.384615385	0.666666667	0	1	0	0.6	0	0	0	0.833333333	1	0.5
UW_MP_ACUT3_1	0.5	0.461538462	0.666666667	0	1	0	0.2	0	0.285714286	0	0	1	0.5
UW_MP_ACUT1_1	0.5	0.461538462	0.666666667	0.5	1	0	0.4	0	0	1	0.833333333	1	0.5
UW_MP_ACT2_1	0.5	0.615384615	0.333333333	0	1	0.5	0.4	0.75	0.142857143	0	0.333333333	0	0
UW_MP_ACT1_1	1	0.692307692	0.333333333	0.5	1	0	0.4	0.75	0.142857143	0.5	0	0	0
UW_MP_ACID4_1	1	0.461538462	0.333333333	0	1	0	0.2	0	0.285714286	0.5	0.5	0	0.5
UW_MP_ACID3_1	1	0.461538462	0.333333333	0	1	0	0.6	0	0.285714286	0.5	0.5	1	0.5
UW_MP_ACID2_1	1	0.384615385	0.666666667	0.5	1	0	0.2	0.25	0.142857143	0.5	0.833333333	1	0.5
UW_MP_ACID1_1	0.5	0.461538462	0.333333333	0.5	1	0	0.6	0.25	0.285714286	0.5	0.833333333	1	0.5
UW_MP_ACET1_1	0.5	0.461538462	0	0.5	0.5	0.5	0.6	0.5	0.142857143	1	0.333333333	0	0
UW_DM_XAN2_1	1	0.384615385	0	0.5	0	0.5	0.6	0.25	0.142857143	0	0.666666667	0	0
UW_DM_XAN1_1	1	0.538461538	0	0.5	0	0.5	0.4	0.25	0.285714286	0	0.666666667	0	0
UW_DM_SCHLAC1_1	0.5	0.615384615	0.333333333	0.5	1	0	0.6	1	0.142857143	0	0.333333333	0	0
UW_DM_PSEUD1_1	1	0.615384615	0	0.5	0.5	1	1	0.75	0.285714286	0.5	0.833333333	0	0
UW_DM_PREV1_1	1	0.461538462	0.666666667	0.5	0.5	0	0	0	0.285714286	0	0	0	0
UW_DM_MEG1_1	1	0.615384615	0.333333333	0.5	1	0	0.4	0.5	0.142857143	1	0.833333333	1	0.5
UW_DM_LIMLAC4_1	0	0.461538462	0	0.5	1	0.5	0.6	1	0.142857143	0	0.333333333	0	0
UW_DM_LIMLAC3_1	0.5	0.461538462	0	0	1	0.5	0.8	1	0	0	0.333333333	0	0
UW_DM_LIMLAC2_1	0	0.461538462	0	0.5	1	0.5	0.8	0.75	0	0	0.5	0	0
UW_DM_LIMLAC1_1	0.5	0.461538462	0	0.5	1	0.5	0.6	1	0	0	0.333333333	0	0
UW_DM_LIGLAC1_1	0	0.461538462	0.333333333	0.5	1	0	0.4	0.75	0.142857143	0	0.666666667	0	0
UW_DM_LENLAC1_1	1	0.461538462	0	0.5	1	0.5	0.6	0.75	0	0	0.5	0	0
UW_DM_LCO1_1	0.5	0.307692308	0.333333333	0.5	1	0	0.2	0	0	0	0	0	0.5
UW_DM_LACCAS3_1	1	0.615384615	0.666666667	0.5	1	0	0.6	0.75	0.285714286	0	0.166666667	0	0
UW_DM_LACCAS2_1	0.5	0.615384615	0.333333333	0.5	1	0	0.6	1	0.285714286	0	0.166666667	0	0
UW_DM_LACCAS1_1	0.5	0.538461538	0.333333333	0.5	1	0	0.6	0.75	0.285714286	0	0.333333333	0	0
UW_DM_LAC3_1	0	0.615384615	0	0.5	0.5	0	0.6	0.25	0.285714286	0	0.166666667	0	0
UW_DM_LAC2_1	0	0.384615385	0	0.5	1	0	0.6	0.25	0.142857143	0.5	0.166666667	0	0
UW_DM_FLAV1_1	0	0.538461538	0	0	1	0.5	0.2	0	0.142857143	0.5	1	0	0
UW_DM_ENTER1_1	1	0.615384615	0.666666667	0.5	1	0.5	0.6	0	0.285714286	0	0.166666667	1	0
UW_DM_DIAL1_1	0	0.461538462	0.333333333	0	1	0	0.4	0	0.142857143	0	0.5	1	0
UW_DM_CLOS2_1	1	0.538461538	0.333333333	0.5	1	0	0.4	0.25	0.571428571	0.5	0.833333333	1	1
UW_DM_BURK1_1	0.5	0.461538462	0	0	0	0	0.8	0	0	0.5	0.166666667	0	0
UW_DM_BIF4_1	0.5	0.538461538	0.333333333	0	0.5	0	0.6	0.75	0.142857143	0.5	0	0	0
UW_DM_BIF2_1	1	0.538461538	0.333333333	0.5	1	0.5	0.8	0.75	0.285714286	0	0	0	0
UW_DM_BIF1_1	1	0.538461538	0.333333333	0.5	1	0	0.8	0.75	0.285714286	0.5	0	0	0
UW_DM_BACTE1_1	0	0.307692308	0.333333333	0.5	1	0	0.4	0	0.285714286	0	0.666666667	0	0.5
UW_DM_BACIL1_1	0.5	0.538461538	0.666666667	0.5	1	0	0.6	0	0	0	0	0	0
UW_DM_ATO2_1	0	0.307692308	0.333333333	0.5	1	0	0.4	0	0.285714286	0	0.166666667	0	0.5
UW_DM_ATO1_1	1	0.692307692	0.666666667	0.5	1	0	0.6	0.5	0.285714286	0	0.166666667	0	0.5
UW_DM_ANA2_1	0.5	0.538461538	0.333333333	0.5	1	0.5	0.4	0	0	0.5	0.5	1	1
UW_DM_ANA1_1	0.5	0.538461538	0.333333333	0.5	1	0.5	0.4	0	0.142857143	0.5	0.666666667	1	1
UW_DM_ACUT4_1	1	0.384615385	0.333333333	0.5	1	0	0.4	0	0.142857143	0	0	1	0.5
UW_DM_ACUT3_1	0.5	0.538461538	0.666666667	0.5	1	0	0.4	0	0	0	0.666666667	1	0.5
UW_DM_ACUT2_1	0.5	0.538461538	0.666666667	0.5	1	0	0.4	0	0.142857143	1	0.833333333	1	0.5
UW_DM_ACUT1_1	1	0.461538462	0.666666667	0.5	1	0	0.2	0	0	0	0.833333333	1	0.5
UW_DM_ACET2_1	0.5	0.461538462	0.333333333	0.5	0.5	0.5	0.6	0.5	0.142857143	1	0.666666667	0	0
UW_DM_ACET1_1	0.5	0.538461538	0	0.5	0.5	0.5	0.6	0.5	0.142857143	1	0.166666667	0	0
